Item1,Item2.X,Item2.Y
48691612.608,100.114,803.7601
48691641.6256,100.5987,804.0105
48691687.7696,99.8894,800.5189
48691719.296,100.1708,803.9988
48691754.752,100.1708,803.9988
48691780.736,100.0542,800.59
48691809.8176,100.2246,800.8497
48691848.192,99.58484,799.5446
48691881.3952,99.54552,800.6115
48691928.1792,100.3948,800.2502
48691959.3856,100.3948,800.2502
48691986.2144,99.46539,802.4581
48692011.7504,99.00133,807.3595
48692041.5104,99.17834,801.3685
48692088.384,99.46355,801.7889
48692120.8832,99.21704,802.2356
48692156.992,99.21704,802.2356
48692186.9568,99.16859,808.0703
48692213.7984,99.07433,807.5494
48692249.3184,99.08489,803.6365
48692280.0128,99.0779,802.9687
48692328.4736,98.80045,801.5468
48692359.9872,98.80045,801.5468
48692388.5568,98.99339,801.5989
48692417.9456,98.9584,802.0276
48692445.7856,99.16688,801.5833
48692487.9488,98.86565,800.3663
48692521.4336,99.45765,801.36
48692551.2448,99.45765,801.36
48692580.8512,101.9373,796.5777
48692607.5648,99.14352,800.304
48692648.2688,100.8035,794.999
48692680.0128,99.22671,801.3298
48692733.3632,99.6867,801.2883
48692768.6528,99.6867,801.2883
48692799.6544,99.82013,801.3563
48692833.4592,100.8283,804.6108
48692865.28,100.3894,801.6022
48692894.2848,100.5437,804.0585
48692927.5264,100.3288,803.9328
48692960.6784,100.3288,803.9328
48692986.7392,99.37679,806.2763
48693016.0512,100.548,806.4298
48693049.1264,100.576,805.4467
48693079.936,100.3759,800.4832
48693129.3952,100.4282,805.6011
48693158.8864,100.4282,805.6011
48693186.9952,99.34605,800.5079
48693216.1024,100.1331,800.3877
48693244.4672,99.64428,800.7087
48693286.9632,100.7413,801.372
48693319.36,102.155,805.0837
48693352.3072,102.155,805.0837
48693377.8944,100.8757,801.6002
48693405.056,101.4778,801.5613
48693447.9872,101.9631,804.1728
48693481.4464,103.0895,806.8971
48693526.7712,102.4886,808.2296
48693562.176,102.4886,808.2296
48693593.1776,104.3533,808.5174
48693619.6864,106.8139,813.1875
48693648.7808,105.701,807.11
48693689.3312,105.4438,807.431
48693725.952,105.115,809.1764
48693760.3456,105.115,809.1764
48693795.264,105.5404,812.0059
48693827.904,106.2057,807.7434
48693863.6032,106.9477,806.6578
48693896.2816,107.3213,806.3588
48693931.968,107.0272,811.9915
48693967.7056,107.0272,811.9915
48694000.7936,105.5819,812.7908
48694032.064,107.0613,806.4788
48694060.352,108.1596,804.9641
48694093.4272,110.1528,805.0702
48694127.1168,110.3873,804.6821
48694156.7104,110.3873,804.6821
48694186.88,110.1936,807.0684
48694213.2608,108.3764,815.153
48694247.3088,107.9263,815.2161
48694282.9184,109.4647,807.8379
48694327.6544,109.1548,807.3895
48694360.2944,109.1548,807.3895
48694384.2304,106.92,814.0707
48694409.6768,107.1038,813.2551
48694440.5504,107.8594,806.6203
48694485.888,108.4442,806.9919
48694522.2656,109.3289,813.1707
48694552.512,109.3289,813.1707
48694577.024,109.1764,813.711
48694601.4464,109.6024,809.1847
48694651.6736,108.823,805.792
48694683.5968,108.2319,808.0335
48694726.7712,107.6508,807.9677
48694760.2688,107.6508,807.9677
48694785.8432,109.1983,808.3224
48694810.8416,106.6688,816.4894
48694839.2576,105.4289,815.6393
48694887.4112,104.6578,804.511
48694919.2832,103.984,812.8047
48694953.4464,103.984,812.8047
48694981.3376,103.8042,811.2591
48695007.6928,105.3007,805.6232
48695048.5248,104.2227,800.5817
48695081.0112,106.1337,790.132
48695128.3584,106.1338,799.4552
48695160.5632,106.1338,799.4552
48695186.3296,106.0416,798.5626
48695214.4,107.6819,787.2112
48695243.264,109.0057,791.7861
48695287.3472,106.2369,795.9048
48695321.5872,108.0513,787.1375
48695351.5648,108.0513,787.1375
48695380.8384,105.1533,799.2664
48695407.1808,104.5314,801.1862
48695447.7312,105.7209,798.6194
48695481.2288,104.2245,804.1691
48695528.0256,103.6426,804.1097
48695561.5232,103.6426,804.1097
48695587.5456,103.5583,803.8802
48695615.1424,104.3647,799.8052
48695644.9536,104.2247,798.7144
48695687.8208,103.6649,798.4606
48695722.4448,102.3017,801.2596
48695752.1792,102.3017,801.2596
48695783.9232,105.1333,801.42
48695813.1328,106.6663,791.266
48695849.8816,106.1476,804.8705
48695881.1008,104.565,801.2968
48695928.256,107.8846,804.4083
48695960.0896,107.8846,804.4083
48695985.5232,109.1081,812.6132
48696013.2864,108.3857,809.582
48696041.8944,108.1063,815.8123
48696088.192,109.6285,808.446
48696119.7952,109.3964,806.4203
48696154.4192,109.3964,806.4203
48696182.6816,110.4299,815.6387
48696209.92,109.6053,808.1361
48696248.5632,108.4745,810.3212
48696281.3312,109.4412,818.9406
48696329.7792,110.0485,820.5428
48696360.64,110.0485,820.5428
48696385.856,109.9908,821.6511
